customer_age,customer_income,home_ownership,employment_duration,loan_intent,loan_grade,loan_amnt,loan_int_rate,term_years,historical_default,cred_hist_length,Current_loan_status,income_group,age_group,age_sort
23,92111.0,RENT,7.0,Medical,Grade E,35000.0,20.25,10,N,4,DEFAULT,80k plus,18-25,1
23,113000.0,RENT,8.0,Debt Consolidation,Grade C,35000.0,18.25,10,N,4,DEFAULT,80k plus,18-25,1
24,10800.0,MORTGAGE,8.0,Education,Grade A,1750.0,10.99,4,N,2,DEFAULT,0 to 20k,18-25,1
25,162500.0,RENT,2.0,Venture,Grade A,35000.0,7.49,10,N,4,NO DEFAULT,80k plus,18-25,1
25,137000.0,RENT,9.0,Personal,Grade D,34800.0,16.77,10,Y,2,NO DEFAULT,80k plus,18-25,1
22,65000.0,RENT,4.0,Education,Grade C,34000.0,17.58,10,N,4,DEFAULT,60k to 80k,18-25,1
24,10980.0,OWN,0.0,Personal,Grade A,1500.0,7.29,4,Y,3,NO DEFAULT,0 to 20k,18-25,1
22,80000.0,RENT,3.0,Personal,Grade C,33950.0,14.54,10,Y,4,DEFAULT,60k to 80k,18-25,1
24,67746.0,RENT,8.0,Home Improvement,Grade B,33000.0,12.68,10,N,3,DEFAULT,60k to 80k,18-25,1
21,11000.0,MORTGAGE,3.0,Venture,Grade D,4575.0,17.74,1,Y,3,DEFAULT,0 to 20k,18-25,1
23,11000.0,OWN,0.0,Personal,Grade A,1400.0,9.32,3,N,3,NO DEFAULT,0 to 20k,18-25,1
24,65000.0,RENT,6.0,Home Improvement,Grade A,32500.0,9.99,10,N,3,NO DEFAULT,60k to 80k,18-25,1
21,11389.0,OTHER,5.0,Education,Grade B,4000.0,12.84,1,Y,2,DEFAULT,0 to 20k,18-25,1
21,11520.0,OWN,5.0,Medical,Grade A,2000.0,11.12,1,N,3,DEFAULT,0 to 20k,18-25,1
25,120000.0,RENT,2.0,Venture,Grade A,32000.0,6.62,10,N,2,NO DEFAULT,80k plus,18-25,1
26,95000.0,RENT,7.0,Home Improvement,Grade B,31050.0,14.17,10,Y,3,DEFAULT,80k plus,26-35,2
25,306000.0,RENT,2.0,Debt Consolidation,Grade B,24250.0,13.85,10,N,3,NO DEFAULT,80k plus,18-25,1
26,300000.0,MORTGAGE,10.0,Medical,Grade B,7800.0,13.49,6,N,4,NO DEFAULT,80k plus,26-35,2
21,12000.0,OWN,5.0,Education,Grade A,2500.0,7.51,1,N,4,DEFAULT,0 to 20k,18-25,1
22,48000.0,RENT,1.0,Education,Grade D,30000.0,18.39,10,N,2,DEFAULT,40k to 60k,18-25,1
24,64000.0,RENT,8.0,Debt Consolidation,Grade C,30000.0,14.54,10,Y,3,DEFAULT,60k to 80k,18-25,1
25,75000.0,RENT,4.0,Home Improvement,Grade C,30000.0,16.89,10,Y,4,DEFAULT,60k to 80k,18-25,1
23,71500.0,RENT,3.0,Debt Consolidation,Grade C,30000.0,10.99,10,N,4,DEFAULT,60k to 80k,18-25,1
26,62050.0,RENT,6.0,Medical,Grade D,30000.0,17.99,10,N,2,DEFAULT,60k to 80k,26-35,2
24,12000.0,OWN,4.0,Venture,Grade A,2500.0,12.69,4,N,3,DEFAULT,0 to 20k,18-25,1
26,300000.0,MORTGAGE,10.0,Venture,Grade A,20000.0,7.88,10,N,4,NO DEFAULT,80k plus,26-35,2
23,300000.0,OWN,1.0,Education,Grade E,24250.0,19.41,10,Y,2,NO DEFAULT,80k plus,18-25,1
26,300000.0,OWN,9.0,Home Improvement,Grade A,10000.0,10.38,6,N,4,NO DEFAULT,80k plus,26-35,2
26,300000.0,MORTGAGE,0.0,Education,Grade C,25000.0,15.33,10,N,3,NO DEFAULT,80k plus,26-35,2
25,300000.0,MORTGAGE,9.0,Home Improvement,Grade D,18000.0,16.45,10,N,3,NO DEFAULT,80k plus,18-25,1
26,80690.0,RENT,8.0,Personal,Grade A,30000.0,7.49,10,N,3,NO DEFAULT,80k plus,26-35,2
22,66300.0,RENT,4.0,Medical,Grade A,30000.0,12.69,10,N,3,NO DEFAULT,60k to 80k,18-25,1
26,89028.0,RENT,0.0,Debt Consolidation,Grade A,30000.0,6.62,10,N,3,NO DEFAULT,80k plus,26-35,2
24,78000.0,RENT,4.0,Debt Consolidation,Grade C,30000.0,10.99,10,Y,4,DEFAULT,60k to 80k,18-25,1
23,78000.0,RENT,7.0,Debt Consolidation,Grade E,30000.0,18.62,10,Y,3,DEFAULT,60k to 80k,18-25,1
23,92004.0,RENT,6.0,Personal,Grade B,30000.0,15.23,10,Y,3,DEFAULT,80k plus,18-25,1
23,97000.0,RENT,7.0,Venture,Grade A,30000.0,10.65,10,Y,2,NO DEFAULT,80k plus,18-25,1
25,120000.0,RENT,9.0,Education,Grade A,30000.0,7.9,10,N,4,NO DEFAULT,80k plus,18-25,1
26,280000.0,RENT,4.0,Personal,Grade B,10000.0,15.96,6,Y,3,NO DEFAULT,80k plus,26-35,2
26,277104.0,RENT,0.0,Venture,Grade A,20000.0,11.48,10,N,3,NO DEFAULT,80k plus,26-35,2
23,277000.0,OWN,3.0,Personal,Grade A,35000.0,10.99,10,N,4,NO DEFAULT,80k plus,18-25,1
25,128000.0,RENT,9.0,Personal,Grade A,30000.0,7.29,10,N,4,NO DEFAULT,80k plus,18-25,1
24,12000.0,OWN,2.0,Venture,Grade D,1750.0,10.99,4,Y,3,NO DEFAULT,0 to 20k,18-25,1
21,131000.0,RENT,0.0,Venture,Grade A,30000.0,5.99,10,N,4,NO DEFAULT,80k plus,18-25,1
22,275000.0,OWN,6.0,Venture,Grade A,12000.0,11.58,10,N,2,NO DEFAULT,80k plus,18-25,1
26,263000.0,MORTGAGE,0.0,Education,Grade A,10000.0,10.99,6,N,4,DEFAULT,80k plus,26-35,2
25,221850.0,MORTGAGE,9.0,Medical,Grade C,25000.0,15.7,10,N,2,DEFAULT,80k plus,18-25,1
22,70000.0,RENT,6.0,Education,Grade C,29100.0,15.99,10,N,3,DEFAULT,60k to 80k,18-25,1
22,12000.0,MORTGAGE,7.0,Education,Grade C,1500.0,14.84,2,Y,3,NO DEFAULT,0 to 20k,18-25,1
26,260000.0,OWN,10.0,Home Improvement,Grade A,28000.0,10.99,10,N,3,NO DEFAULT,80k plus,26-35,2
25,259000.0,MORTGAGE,9.0,Home Improvement,Grade C,20000.0,14.42,10,Y,2,NO DEFAULT,80k plus,18-25,1
24,255000.0,MORTGAGE,9.0,Education,Grade A,9600.0,6.99,4,N,2,NO DEFAULT,80k plus,18-25,1
25,250000.0,RENT,2.0,Medical,Grade B,25000.0,13.49,10,N,4,NO DEFAULT,80k plus,18-25,1
25,12000.0,OWN,0.0,Medical,Grade B,3000.0,10.99,5,N,3,DEFAULT,0 to 20k,18-25,1
22,56950.0,RENT,6.0,Medical,Grade A,28000.0,10.99,10,N,2,NO DEFAULT,40k to 60k,18-25,1
21,12000.0,OWN,6.0,Education,Grade B,3000.0,13.61,1,Y,3,DEFAULT,0 to 20k,18-25,1
23,65000.0,RENT,2.0,Education,Grade A,28000.0,7.9,10,N,2,NO DEFAULT,60k to 80k,18-25,1
26,85000.0,RENT,2.0,Venture,Grade A,28000.0,7.49,10,N,3,NO DEFAULT,80k plus,26-35,2
26,12000.0,OWN,2.0,Education,Grade A,6100.0,7.51,6,N,3,DEFAULT,0 to 20k,26-35,2
22,88000.0,RENT,6.0,Venture,Grade A,28000.0,9.91,10,N,3,NO DEFAULT,80k plus,18-25,1
21,12000.0,OWN,0.0,Personal,Grade B,4200.0,13.48,1,Y,4,DEFAULT,0 to 20k,18-25,1
22,12000.0,OWN,6.0,Debt Consolidation,Grade A,4750.0,7.14,2,N,2,DEFAULT,0 to 20k,18-25,1
24,83004.0,RENT,0.0,Venture,Grade C,28000.0,15.99,10,Y,4,DEFAULT,80k plus,18-25,1
24,250000.0,RENT,2.0,Education,Grade B,18000.0,12.98,10,Y,3,NO DEFAULT,80k plus,18-25,1
25,100000.0,RENT,5.0,Debt Consolidation,Grade A,28000.0,12.69,10,N,3,NO DEFAULT,80k plus,18-25,1
26,110000.0,RENT,10.0,Education,Grade A,28000.0,8.9,10,N,2,NO DEFAULT,80k plus,26-35,2
26,12000.0,OWN,0.0,Debt Consolidation,Grade A,2700.0,10.99,6,N,4,DEFAULT,0 to 20k,26-35,2
22,108000.0,RENT,6.0,Education,Grade A,28000.0,10.99,10,N,4,NO DEFAULT,80k plus,18-25,1
23,151200.0,RENT,7.0,Debt Consolidation,Grade A,28000.0,11.11,10,N,2,NO DEFAULT,80k plus,18-25,1
24,69000.0,RENT,2.0,Home Improvement,Grade A,27600.0,10.99,10,N,2,NO DEFAULT,60k to 80k,18-25,1
21,12000.0,MORTGAGE,5.0,Debt Consolidation,Grade D,3250.0,15.68,1,Y,3,DEFAULT,0 to 20k,18-25,1
22,70000.0,RENT,4.0,Education,Grade B,27500.0,13.06,10,Y,3,DEFAULT,60k to 80k,18-25,1
22,240000.0,OWN,6.0,Personal,Grade A,25000.0,10.99,10,Y,2,NO DEFAULT,80k plus,18-25,1
26,73200.0,RENT,5.0,Venture,Grade C,27050.0,15.62,10,Y,2,DEFAULT,60k to 80k,26-35,2
24,83000.0,RENT,5.0,Personal,Grade B,27000.0,13.49,10,Y,2,DEFAULT,80k plus,18-25,1
24,73399.0,RENT,0.0,Venture,Grade C,27000.0,10.99,10,N,3,DEFAULT,60k to 80k,18-25,1
23,62500.0,RENT,7.0,Medical,Grade A,26000.0,11.71,10,N,2,NO DEFAULT,60k to 80k,18-25,1
23,120000.0,RENT,1.0,Education,Grade A,25600.0,12.69,10,N,3,NO DEFAULT,80k plus,18-25,1
24,12360.0,OWN,2.0,Medical,Grade B,1600.0,13.57,4,N,3,NO DEFAULT,0 to 20k,18-25,1
22,60000.0,RENT,0.0,Venture,Grade A,25475.0,10.99,10,N,3,NO DEFAULT,40k to 60k,18-25,1
25,234000.0,MORTGAGE,3.0,Medical,Grade B,20000.0,14.27,10,Y,4,NO DEFAULT,80k plus,18-25,1
24,234000.0,OWN,8.0,Home Improvement,Grade A,20000.0,8.88,10,N,4,NO DEFAULT,80k plus,18-25,1
26,234000.0,MORTGAGE,10.0,Home Improvement,Grade A,21600.0,12.18,10,N,3,NO DEFAULT,80k plus,26-35,2
25,221004.0,MORTGAGE,6.0,Debt Consolidation,Grade C,11900.0,14.42,10,Y,3,DEFAULT,80k plus,18-25,1
26,232500.0,MORTGAGE,0.0,Medical,Grade B,25000.0,14.17,10,Y,2,NO DEFAULT,80k plus,26-35,2
25,230000.0,MORTGAGE,5.0,Medical,Grade B,35000.0,13.99,10,N,4,NO DEFAULT,80k plus,18-25,1
23,83000.0,RENT,7.0,Education,Grade A,25300.0,10.99,10,N,3,NO DEFAULT,80k plus,18-25,1
22,12600.0,MORTGAGE,4.0,Personal,Grade A,2000.0,5.42,2,N,4,DEFAULT,0 to 20k,18-25,1
25,12600.0,OWN,3.0,Personal,Grade B,1750.0,13.61,5,N,3,NO DEFAULT,0 to 20k,18-25,1
21,42500.0,RENT,3.0,Education,Grade B,25000.0,12.73,10,Y,3,DEFAULT,40k to 60k,18-25,1
24,41000.0,RENT,2.0,Home Improvement,Grade C,25000.0,10.99,10,N,3,DEFAULT,40k to 60k,18-25,1
25,12816.0,OWN,0.0,Debt Consolidation,Grade B,3000.0,12.87,5,Y,4,DEFAULT,0 to 20k,18-25,1
24,12960.0,MORTGAGE,1.0,Home Improvement,Grade A,3650.0,9.91,4,N,3,DEFAULT,0 to 20k,18-25,1
26,226000.0,MORTGAGE,4.0,Home Improvement,Grade A,20000.0,11.49,10,N,4,NO DEFAULT,80k plus,26-35,2
25,225000.0,MORTGAGE,0.0,Home Improvement,Grade D,30000.0,19.91,10,Y,2,NO DEFAULT,80k plus,18-25,1
26,213000.0,MORTGAGE,6.0,Education,Grade A,35000.0,10.65,10,N,2,DEFAULT,80k plus,26-35,2
24,225000.0,RENT,0.0,Medical,Grade A,6000.0,10.99,4,N,4,NO DEFAULT,80k plus,18-25,1
24,12960.0,MORTGAGE,0.0,Debt Consolidation,Grade A,4500.0,11.83,4,N,4,DEFAULT,0 to 20k,18-25,1
23,12996.0,OWN,0.0,Debt Consolidation,Grade B,2400.0,13.49,3,Y,2,DEFAULT,0 to 20k,18-25,1
22,42000.0,RENT,6.0,Medical,Grade C,25000.0,14.59,10,Y,2,DEFAULT,40k to 60k,18-25,1
26,48000.0,RENT,2.0,Education,Grade B,25000.0,9.64,10,N,4,DEFAULT,40k to 60k,26-35,2
25,12996.0,OWN,1.0,Medical,Grade C,3600.0,14.59,5,N,3,DEFAULT,0 to 20k,18-25,1
22,12996.0,OWN,1.0,Education,Grade A,4750.0,10.99,2,N,3,DEFAULT,0 to 20k,18-25,1
25,42360.0,RENT,1.0,Education,Grade D,25000.0,16.35,10,Y,3,DEFAULT,40k to 60k,18-25,1
21,49000.0,RENT,4.0,Education,Grade B,25000.0,10.99,10,N,2,DEFAULT,40k to 60k,18-25,1
25,225000.0,MORTGAGE,0.0,Venture,Grade E,25000.0,18.67,10,N,2,NO DEFAULT,80k plus,18-25,1
26,225000.0,RENT,1.0,Education,Grade A,3000.0,9.32,6,N,4,NO DEFAULT,80k plus,26-35,2
23,225000.0,RENT,8.0,Debt Consolidation,Grade A,7500.0,8.63,3,N,2,NO DEFAULT,80k plus,18-25,1
26,225000.0,MORTGAGE,2.0,Venture,Grade A,25000.0,10.08,10,N,2,NO DEFAULT,80k plus,26-35,2
22,49464.0,RENT,5.0,Personal,Grade B,25000.0,11.83,10,N,3,DEFAULT,40k to 60k,18-25,1
23,50000.0,RENT,1.0,Debt Consolidation,Grade A,25000.0,7.9,10,N,3,NO DEFAULT,40k to 60k,18-25,1
25,50000.0,RENT,4.0,Home Improvement,Grade A,25000.0,5.99,10,N,2,DEFAULT,40k to 60k,18-25,1
24,44000.0,RENT,2.0,Debt Consolidation,Grade C,25000.0,15.33,10,N,2,DEFAULT,40k to 60k,18-25,1
23,50000.0,RENT,1.0,Venture,Grade A,25000.0,11.83,10,Y,4,NO DEFAULT,40k to 60k,18-25,1
22,50004.0,RENT,0.0,Venture,Grade A,25000.0,10.36,10,N,2,NO DEFAULT,40k to 60k,18-25,1
22,50004.0,RENT,3.0,Venture,Grade B,25000.0,12.23,10,N,3,DEFAULT,40k to 60k,18-25,1
22,52000.0,RENT,2.0,Education,Grade A,25000.0,11.11,10,N,4,NO DEFAULT,40k to 60k,18-25,1
23,13200.0,OWN,3.0,Debt Consolidation,Grade A,4950.0,7.9,3,N,4,DEFAULT,0 to 20k,18-25,1
24,220000.0,MORTGAGE,1.0,Education,Grade A,25000.0,11.58,10,N,2,NO DEFAULT,80k plus,18-25,1
23,216000.0,MORTGAGE,5.0,Debt Consolidation,Grade A,21000.0,8.9,10,N,3,NO DEFAULT,80k plus,18-25,1
25,216000.0,MORTGAGE,2.0,Education,Grade C,25000.0,16.07,10,N,3,NO DEFAULT,80k plus,18-25,1
26,216000.0,MORTGAGE,10.0,Education,Grade B,20000.0,14.22,10,Y,2,NO DEFAULT,80k plus,26-35,2
23,215000.0,MORTGAGE,7.0,Medical,Grade B,35000.0,14.79,10,Y,3,NO DEFAULT,80k plus,18-25,1
26,215000.0,MORTGAGE,11.0,Education,Grade A,12000.0,7.88,10,N,2,NO DEFAULT,80k plus,26-35,2
23,52000.0,RENT,1.0,Personal,Grade B,25000.0,13.22,10,N,2,DEFAULT,40k to 60k,18-25,1
26,46000.0,RENT,2.0,Debt Consolidation,Grade C,25000.0,11.86,10,N,4,DEFAULT,40k to 60k,26-35,2
22,53000.0,RENT,5.0,Education,Grade B,25000.0,13.43,10,Y,4,DEFAULT,40k to 60k,18-25,1
26,47000.0,RENT,0.0,Home Improvement,Grade C,25000.0,15.28,10,Y,2,DEFAULT,40k to 60k,26-35,2
23,47000.0,RENT,1.0,Venture,Grade D,25000.0,17.93,10,N,2,DEFAULT,40k to 60k,18-25,1
23,13200.0,MORTGAGE,2.0,Education,Grade A,1400.0,9.25,3,N,4,NO DEFAULT,0 to 20k,18-25,1
21,13200.0,OWN,0.0,Venture,Grade B,4500.0,12.98,1,N,4,DEFAULT,0 to 20k,18-25,1
22,210000.0,MORTGAGE,6.0,Venture,Grade A,16000.0,10.62,10,N,4,NO DEFAULT,80k plus,18-25,1
26,210000.0,OWN,10.0,Personal,Grade A,22000.0,11.83,10,N,4,NO DEFAULT,80k plus,26-35,2
26,48000.0,RENT,5.0,Venture,Grade E,25000.0,18.43,10,N,2,DEFAULT,40k to 60k,26-35,2
22,54996.0,RENT,6.0,Education,Grade A,25000.0,10.99,10,N,4,NO DEFAULT,40k to 60k,18-25,1
24,55000.0,RENT,4.0,Home Improvement,Grade C,25000.0,10.99,10,Y,4,DEFAULT,40k to 60k,18-25,1
23,55000.0,RENT,4.0,Education,Grade A,25000.0,11.36,10,N,3,NO DEFAULT,40k to 60k,18-25,1
23,55000.0,RENT,4.0,Education,Grade C,25000.0,15.65,10,Y,3,DEFAULT,40k to 60k,18-25,1
24,55164.0,RENT,8.0,Personal,Grade B,25000.0,13.22,10,Y,4,DEFAULT,40k to 60k,18-25,1
26,56000.0,RENT,4.0,Debt Consolidation,Grade B,25000.0,12.87,10,N,2,DEFAULT,40k to 60k,26-35,2
24,203500.0,OWN,8.0,Medical,Grade B,20000.0,13.04,10,N,3,NO DEFAULT,80k plus,18-25,1
23,190000.0,MORTGAGE,5.0,Education,Grade E,22000.0,17.58,10,Y,3,DEFAULT,80k plus,18-25,1
23,13920.0,OWN,2.0,Personal,Grade D,7750.0,17.04,3,N,4,DEFAULT,0 to 20k,18-25,1
24,60000.0,RENT,0.0,Personal,Grade A,25000.0,10.99,10,N,3,DEFAULT,40k to 60k,18-25,1
24,60000.0,RENT,2.0,Personal,Grade A,25000.0,11.11,10,N,3,DEFAULT,40k to 60k,18-25,1
26,54000.0,RENT,7.0,Debt Consolidation,Grade C,25000.0,14.83,10,Y,2,DEFAULT,40k to 60k,26-35,2
23,14000.0,OWN,2.0,Debt Consolidation,Grade C,4000.0,10.99,3,N,3,DEFAULT,0 to 20k,18-25,1
24,200000.0,RENT,8.0,Medical,Grade A,12000.0,12.69,10,N,2,NO DEFAULT,80k plus,18-25,1
24,200000.0,MORTGAGE,8.0,Home Improvement,Grade B,12000.0,13.49,10,N,2,NO DEFAULT,80k plus,18-25,1
21,200000.0,MORTGAGE,5.0,Education,Grade B,16000.0,14.65,10,N,4,NO DEFAULT,80k plus,18-25,1
25,54000.0,RENT,3.0,Home Improvement,Grade D,25000.0,16.82,10,N,4,DEFAULT,40k to 60k,18-25,1
23,60000.0,RENT,3.0,Personal,Grade B,25000.0,12.73,10,N,3,DEFAULT,40k to 60k,18-25,1
23,60000.0,RENT,7.0,Personal,Grade A,25000.0,10.25,10,N,4,DEFAULT,40k to 60k,18-25,1
21,60000.0,RENT,6.0,Education,Grade A,25000.0,10.99,10,N,4,DEFAULT,40k to 60k,18-25,1
25,61959.0,RENT,9.0,Medical,Grade B,25000.0,12.73,10,N,2,DEFAULT,60k to 80k,18-25,1
22,56400.0,RENT,2.0,Home Improvement,Grade C,25000.0,14.96,10,Y,3,DEFAULT,40k to 60k,18-25,1
23,200000.0,MORTGAGE,7.0,Education,Grade A,28000.0,10.99,10,N,2,NO DEFAULT,80k plus,18-25,1
21,200000.0,MORTGAGE,2.0,Debt Consolidation,Grade B,25000.0,13.99,10,N,2,NO DEFAULT,80k plus,18-25,1
24,200000.0,MORTGAGE,3.0,Venture,Grade A,24000.0,7.49,10,Y,4,NO DEFAULT,80k plus,18-25,1
26,200000.0,MORTGAGE,4.0,Education,Grade B,15000.0,14.79,10,N,3,NO DEFAULT,80k plus,26-35,2
25,200000.0,MORTGAGE,2.0,Debt Consolidation,Grade A,15500.0,11.99,10,N,2,NO DEFAULT,80k plus,18-25,1
24,200000.0,RENT,8.0,Education,Grade A,10000.0,8.49,4,N,4,NO DEFAULT,80k plus,18-25,1
24,66000.0,RENT,3.0,Education,Grade A,25000.0,9.91,10,N,2,DEFAULT,60k to 80k,18-25,1
22,66000.0,RENT,6.0,Education,Grade B,25000.0,13.06,10,Y,3,DEFAULT,60k to 80k,18-25,1
22,200000.0,MORTGAGE,6.0,Debt Consolidation,Grade A,9000.0,6.17,2,N,4,NO DEFAULT,80k plus,18-25,1
25,200000.0,RENT,5.0,Education,Grade C,18000.0,16.32,10,N,3,NO DEFAULT,80k plus,18-25,1
25,200000.0,MORTGAGE,2.0,Venture,Grade A,12000.0,10.38,10,N,2,NO DEFAULT,80k plus,18-25,1
25,200000.0,MORTGAGE,9.0,Personal,Grade B,23050.0,14.35,10,N,3,NO DEFAULT,80k plus,18-25,1
24,200000.0,MORTGAGE,8.0,Debt Consolidation,Grade A,20000.0,10.99,10,N,3,NO DEFAULT,80k plus,18-25,1
24,60000.0,RENT,2.0,Debt Consolidation,Grade D,25000.0,10.99,10,Y,2,DEFAULT,40k to 60k,18-25,1
21,14400.0,OWN,0.0,Home Improvement,Grade A,3000.0,10.99,1,N,4,DEFAULT,0 to 20k,18-25,1
26,66996.0,RENT,10.0,Personal,Grade C,25000.0,15.21,10,Y,2,DEFAULT,60k to 80k,26-35,2
23,67000.0,RENT,3.0,Education,Grade A,25000.0,7.9,10,N,4,DEFAULT,60k to 80k,18-25,1
24,67000.0,RENT,2.0,Venture,Grade A,25000.0,10.99,10,N,3,DEFAULT,60k to 80k,18-25,1
24,68000.0,RENT,5.0,Personal,Grade C,25000.0,14.09,10,Y,3,DEFAULT,60k to 80k,18-25,1
25,69000.0,RENT,9.0,Personal,Grade C,25000.0,17.49,10,N,2,DEFAULT,60k to 80k,18-25,1
25,200000.0,MORTGAGE,0.0,Education,Grade A,12000.0,11.48,10,N,3,NO DEFAULT,80k plus,18-25,1
26,188000.0,MORTGAGE,10.0,Venture,Grade D,20000.0,17.74,10,N,2,DEFAULT,80k plus,26-35,2
26,200000.0,MORTGAGE,4.0,Personal,Grade B,3000.0,13.92,6,N,3,NO DEFAULT,80k plus,26-35,2
25,69996.0,RENT,9.0,Education,Grade C,25000.0,15.21,10,N,3,DEFAULT,60k to 80k,18-25,1
22,14400.0,OWN,2.0,Medical,Grade A,4000.0,10.99,2,Y,3,DEFAULT,0 to 20k,18-25,1
24,70000.0,RENT,3.0,Education,Grade A,25000.0,11.86,10,N,4,DEFAULT,60k to 80k,18-25,1
24,14400.0,OWN,5.0,Personal,Grade A,6000.0,7.49,4,N,3,DEFAULT,0 to 20k,18-25,1
24,56100.0,RENT,7.0,Medical,Grade C,25000.0,16.49,10,N,4,DEFAULT,40k to 60k,18-25,1
25,66000.0,RENT,9.0,Venture,Grade C,25000.0,15.33,10,Y,2,DEFAULT,60k to 80k,18-25,1
26,66000.0,RENT,3.0,Home Improvement,Grade A,25000.0,11.58,10,N,4,DEFAULT,60k to 80k,26-35,2
25,14400.0,OWN,7.0,Education,Grade A,5375.0,5.79,5,N,2,DEFAULT,0 to 20k,18-25,1
25,72612.0,RENT,9.0,Medical,Grade B,25000.0,13.11,10,N,2,DEFAULT,60k to 80k,18-25,1
23,74000.0,RENT,3.0,Medical,Grade A,25000.0,10.36,10,N,3,DEFAULT,60k to 80k,18-25,1
25,75000.0,RENT,9.0,Debt Consolidation,Grade A,25000.0,10.36,10,Y,2,DEFAULT,60k to 80k,18-25,1
24,192000.0,RENT,0.0,Medical,Grade B,22000.0,10.99,10,Y,2,NO DEFAULT,80k plus,18-25,1
21,192000.0,MORTGAGE,123.0,Venture,Grade A,20000.0,6.54,10,N,4,NO DEFAULT,80k plus,18-25,1
25,191000.0,MORTGAGE,1.0,Medical,Grade A,10000.0,12.53,5,N,4,NO DEFAULT,80k plus,18-25,1
26,190300.0,MORTGAGE,5.0,Personal,Grade A,15000.0,10.99,10,N,3,NO DEFAULT,80k plus,26-35,2
22,190000.0,MORTGAGE,3.0,Venture,Grade B,10000.0,10.99,2,N,3,NO DEFAULT,80k plus,18-25,1
24,75000.0,RENT,4.0,Education,Grade A,25000.0,10.25,10,N,4,DEFAULT,60k to 80k,18-25,1
22,71000.0,RENT,1.0,Education,Grade C,25000.0,15.95,10,Y,4,DEFAULT,60k to 80k,18-25,1
26,190000.0,MORTGAGE,3.0,Venture,Grade A,20000.0,12.18,10,N,4,NO DEFAULT,80k plus,26-35,2
23,189996.0,OWN,0.0,Personal,Grade A,24000.0,11.83,10,N,3,NO DEFAULT,80k plus,18-25,1
23,78000.0,RENT,1.0,Venture,Grade A,25000.0,10.62,10,N,3,DEFAULT,60k to 80k,18-25,1
23,78504.0,RENT,7.0,Venture,Grade A,25000.0,10.74,10,N,3,DEFAULT,60k to 80k,18-25,1
25,186000.0,OWN,9.0,Venture,Grade A,10000.0,10.25,5,N,4,NO DEFAULT,80k plus,18-25,1
24,185000.0,MORTGAGE,4.0,Education,Grade A,35000.0,12.42,10,N,2,NO DEFAULT,80k plus,18-25,1
25,185000.0,RENT,6.0,Venture,Grade B,15000.0,15.27,10,N,2,NO DEFAULT,80k plus,18-25,1
24,62050.0,RENT,8.0,Medical,Grade C,25000.0,15.33,10,Y,2,DEFAULT,60k to 80k,18-25,1
23,79416.0,RENT,7.0,Venture,Grade C,25000.0,15.21,10,Y,2,DEFAULT,60k to 80k,18-25,1
21,14400.0,OWN,4.0,Venture,Grade B,6250.0,14.72,1,N,2,DEFAULT,0 to 20k,18-25,1
24,79631.0,RENT,8.0,Personal,Grade C,25000.0,15.7,10,Y,2,DEFAULT,60k to 80k,18-25,1
24,79632.0,RENT,0.0,Education,Grade B,25000.0,13.35,10,N,4,DEFAULT,60k to 80k,18-25,1
